date,open,high,low,close,volume
2020-02-21,0.00353966,0.00362247,0.00345831,0.00353712,153113913.0
2020-02-22,0.00353552,0.00354407,0.00343534,0.00345778,107733066.0
2020-02-23,0.00346018,0.00357973,0.00346018,0.00357599,85158189.0
2020-02-24,0.00357225,0.00358267,0.00339754,0.00344202,123771852.0
2020-02-25,0.0034503,0.0034503,0.00320266,0.00330377,256619298.0
2020-02-26,0.00330364,0.00332113,0.00292015,0.00313079,305716693.0
2020-02-27,0.00312639,0.00322763,0.00307216,0.00310622,164177168.0
2020-02-28,0.00310622,0.00316566,0.00296009,0.00304851,99076087.0
2020-02-29,0.00304851,0.00309847,0.00295354,0.00295902,84399218.0
2020-03-01,0.00296557,0.00308551,0.00293912,0.00304464,116810334.0
2020-03-02,0.00303048,0.00317795,0.00296597,0.00313507,96449244.0
2020-03-03,0.00314963,0.00338672,0.00308311,0.0033373,276081118.0
2020-03-04,0.00334344,0.00334371,0.00316566,0.00323071,201587827.0
2020-03-05,0.00323925,0.00337937,0.00323538,0.00330871,122219349.0
2020-03-06,0.00330898,0.00333917,0.00325568,0.00332087,63303104.0
2020-03-07,0.00332087,0.00333129,0.00319531,0.00321454,112331024.0
2020-03-08,0.0032096,0.00321094,0.0028718,0.00289464,181080658.0
2020-03-09,0.00290038,0.00297451,0.0027783,0.0029657,229780847.0
2020-03-10,0.00297345,0.0030242,0.00287621,0.00294566,225779527.0
2020-03-11,0.00294139,0.00296276,0.00279312,0.00290065,128060172.0
2020-03-12,0.00290639,0.00291254,0.00187041,0.00213662,770809996.0
2020-03-13,0.00199971,0.00239855,0.00151537,0.00233217,372647948.0
2020-03-14,0.00230091,0.00237371,0.00218123,0.00222157,224230347.0
2020-03-15,0.0022177,0.00244824,0.00217656,0.00226164,183272920.0
2020-03-16,0.00225777,0.00227072,0.00180028,0.00211271,232810549.0
2020-03-17,0.0021274,0.00225376,0.00206502,0.0021664,120269653.0
2020-03-18,0.0021664,0.00219432,0.00206262,0.00213742,153194705.0
2020-03-19,0.00213742,0.00245706,0.0020904,0.00236422,315677300.0
2020-03-20,0.00235087,0.00258609,0.00219218,0.00237785,301406598.0
2020-03-21,0.00237197,0.00247549,0.00226592,0.00238413,120948576.0
2020-03-22,0.00239054,0.002464,0.00229143,0.00230599,156027627.0
2020-03-23,0.00230038,0.00248123,0.00224975,0.00242994,180308460.0
2020-03-24,0.00243902,0.00255924,0.00241057,0.00248992,283137113.0
2020-03-25,0.00247255,0.00253079,0.00239094,0.00244383,170824524.0
2020-03-26,0.00244383,0.00249419,0.00241912,0.00247362,151160373.0
